0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
G11	0.0064561	0.0263006	0.0081163	0.0119608	0.2595708	0.0160940	0.0130458	0.0323994	0.0135483	0.0064326	0.0000000	0.0290436	0.0061817	0.0209273	0.0271618	0.0092649	0.0105671	0.0323104	0.0286781	0.0144711	0.0290944	0.0240644	0.0012077	0.0305224	0.0305265	0.0374073	0.0039859	0.0196648	0.0064485	0.0138053	0.0125395	0.0223485	0.0378441	0.0038385	0.0026572	0.0116105	0.0296419	0.0157714	0.0076396	0.0142546	0.0238900	0.0261403	0.0229573	0.0035214	0.0241955	0.0134686	0.0361595	0.0344342	0.0342549	0.0116261	0.0204611	0.0108874	0.0169789	0.0134053	0.0061120	0.0147532	0.0155020	0.0111542	0.0201807	0.0091864	0.0359754	0.0046602	0.0102606	0.0216879	0.0068735	0.0242823	0.0086975	0.0313389	0.0227652	0.0178857	0.0396089	0.0204701	0.0171080	0.0153229	0.0042049	0.0147611	0.0224434	0.0201636	0.0351982	0.0075473	0.0110383	0.0387269	0.1859135	0.0090145	0.2019005	0.0068575	0.0131298	0.0160665	0.0242366	0.0114384	0.0143184	0.0097879	0.0167160	0.0225671	0.0251176	0.0326765	0.0132086	0.0111550	0.0248844	0.0385874
G12	0.3605916	0.3144292	0.4684412	0.3387126	0.6196037	0.3731718	0.3056843	0.3181691	0.3975661	0.3531881	0.3800081	0.0000000	0.3571451	0.3652400	0.4224165	0.4154907	0.3700748	0.4247278	0.3058524	0.3763371	0.3488248	0.3655056	0.4746148	0.3276637	0.3870375	0.3907288	0.3831016	0.3267736	0.3871661	0.3700266	0.3327924	0.3944577	0.2781054	0.3649101	0.3590139	0.3826032	0.3360634	0.3357996	0.4169619	0.4443718	0.3224545	0.3019977	0.3234880	0.2788966	0.3360863	0.3536462	0.3533889	0.3605242	0.3169709	0.3620345	0.3825158	0.3788511	0.4939602	0.4345432	0.3353457	0.3349547	0.3778848	0.3204184	0.3286755	0.3311392	0.3849357	0.2799950	0.3657569	0.3980395	0.3282335	0.3706799	0.3430995	0.5204246	0.3222947	0.4171318	0.3695884	0.3596942	0.3006689	0.2985361	0.3433043	0.3617241	0.2951612	0.4086337	0.2966922	0.2665700	0.3728207	0.3124174	0.6569751	0.4582247	0.6309196	0.3113093	0.2951913	0.3713237	0.3147851	0.3070386	0.3442622	0.3703820	0.3261705	0.3806107	0.3471558	0.3771144	0.3512992	0.2438978	0.4541436	0.3759334
G13	0.0362066	0.0471912	0.0388163	0.0293358	0.5667929	0.0271411	0.0440291	0.0392049	0.0135523	0.0209957	0.0728221	0.0587661	0.0000000	0.0373817	0.0406540	0.0165413	0.0429799	0.0247010	0.0342950	0.0912211	0.0596249	0.0501752	0.0379074	0.0525713	0.0275686	0.0478410	0.0359140	0.0335056	0.0386832	0.0537674	0.0311154	0.0238678	0.0590570	0.0526822	0.0126406	0.0521146	0.0349536	0.0214218	0.0364674	0.0409438	0.0284969	0.0537725	0.0150137	0.0170769	0.0299757	0.0432228	0.0791720	0.0563003	0.0348035	0.0295141	0.0733249	0.0342116	0.0291955	0.0282782	0.0416055	0.0339236	0.0468618	0.0501807	0.0326726	0.0261669	0.0261331	0.0708649	0.0170151	0.0304229	0.0570269	0.0526519	0.0310304	0.0427057	0.0362375	0.0318692	0.0283236	0.0291983	0.0256971	0.0424117	0.0200502	0.0283525	0.0374903	0.0348631	0.0539546	0.0346524	0.0330555	0.0277522	0.2245481	0.0235306	0.6410061	0.0210565	0.0152998	0.0300398	0.0348210	0.0482491	0.0439533	0.0168244	0.0365457	0.0353968	0.0397403	0.0386579	0.0487005	0.0295593	0.0212974	0.0399504
G14	0.0120757	0.0166814	0.0127624	0.0225603	0.4831349	0.0259786	0.0255430	0.0296627	0.0187997	0.0326517	0.0112349	0.0213706	0.0303977	0.0000000	0.0259288	0.0176282	0.0160873	0.0156498	0.0194866	0.0143786	0.0118751	0.0159249	0.0199347	0.0419575	0.0106089	0.0314717	0.0167673	0.0175335	0.0137019	0.0103336	0.0142516	0.0160958	0.0277664	0.0236281	0.0116390	0.0114932	0.0188431	0.0266419	0.0243634	0.0055361	0.0152632	0.0155181	0.0198986	0.0269745	0.0253794	0.0294658	0.0219901	0.0354180	0.0317920	0.0236150	0.0165619	0.0265078	0.0660352	0.0167910	0.0292441	0.0200677	0.0186579	0.0359615	0.0272305	0.0208842	0.0300633	0.0060772	0.0225073	0.0109764	0.0380482	0.0222967	0.0346729	0.0206096	0.0164828	0.0224103	0.0584261	0.0339137	0.0297605	0.0149750	0.0201583	0.0110441	0.0127520	0.0152960	0.0158212	0.0137658	0.0060660	0.0188334	0.0164353	0.0091956	0.0143485	0.0109946	0.0107627	0.0194669	0.0292179	0.0114819	0.0209750	0.0092145	0.0552153	0.0273648	0.0665112	0.0356704	0.0306984	0.0251091	0.0114591	0.0157437
G15	0.0099478	0.0091597	0.0109974	0.0132761	0.7576833	0.0066371	0.0078077	0.0059241	0.0016377	0.0229081	0.0093450	0.0007545	0.0134579	0.0040795	0.0000000	0.0047183	0.0352804	0.0026085	0.0149428	0.0042499	0.0041423	0.0071154	0.0033997	0.0048208	0.0108208	0.0133123	0.0084742	0.0082430	0.0069063	0.0024078	0.0039267	0.0157378	0.0212529	0.0052248	0.0093837	0.0263551	0.0020078	0.0088956	0.0113151	0.0037631	0.0101724	0.0149554	0.0038703	0.0016930	0.0038664	0.0074345	0.0278097	0.0180774	0.0045665	0.0085186	0.0041292	0.0063879	0.0175141	0.0098738	0.0009797	0.0098820	0.0023512	0.0085984	0.0147469	0.0058606	0.0130161	0.0081075	0.0184330	0.0074806	0.0033696	0.0049775	0.0167438	0.0156556	0.0108690	0.0086424	0.0023826	0.0173000	0.0098393	0.0089144	0.0036503	0.0082604	0.0304828	0.0041033	0.0041328	0.0142999	0.0053437	0.0069857	0.0114545	0.0144216	0.0068772	0.0050215	0.0046918	0.0055873	0.0108295	0.0125447	0.0017627	0.0105225	0.0115949	0.0164785	0.0057812	0.0043867	0.0083531	0.0053708	0.0061107	0.0071283
G16	0.0989074	0.1076151	0.0711074	0.0740646	0.3264836	0.0726008	0.0726433	0.0928477	0.0792566	0.1382325	0.1140325	0.1052824	0.0756561	0.1316030	0.0864565	0.0000000	0.0849242	0.1394367	0.1051042	0.1028917	0.0837202	0.1137691	0.1010203	0.1124610	0.0671402	0.0690241	0.0537888	0.1673603	0.1427707	0.0863867	0.0766786	0.1118103	0.1740488	0.1153966	0.0712970	0.1171079	0.1297522	0.1292112	0.0657807	0.0906592	0.1281936	0.1158882	0.1212294	0.1020974	0.1221943	0.0176304	0.1279426	0.1264589	0.0970001	0.1205076	0.0901556	0.1218244	0.1400396	0.1583363	0.0878171	0.1330544	0.1145227	0.1010968	0.1515614	0.0984527	0.1181289	0.0871152	0.0577498	0.0976964	0.1091210	0.1329182	0.1339742	0.1498794	0.0793971	0.1401572	0.1612373	0.1555467	0.1079249	0.0825718	0.0891744	0.0769290	0.1300659	0.1003946	0.1096888	0.1264833	0.1631617	0.0973549	0.0715104	0.0931905	0.0213161	0.1231013	0.1091755	0.1082115	0.1032278	0.0722817	0.0712123	0.0517117	0.0958860	0.1188184	0.1048994	0.0925097	0.0701866	0.1082381	0.1032666	0.1091939
G17	0.3279244	0.3769829	0.2914324	0.3277204	0.6412604	0.3188014	0.3518510	0.3080067	0.3521071	0.2970253	0.4172682	0.3638761	0.3298627	0.3360731	0.3819094	0.2984540	0.0000000	0.3302126	0.3178872	0.3967330	0.3190771	0.3044306	0.3352766	0.2892489	0.3606273	0.4260197	0.3985656	0.3903095	0.3454305	0.3098481	0.2801181	0.4662664	0.3578208	0.3522670	0.3122205	0.3653039	0.3507888	0.4218120	0.3502585	0.3713174	0.3465499	0.3362240	0.4010329	0.3000491	0.2900132	0.3026765	0.4195208	0.3570213	0.3179139	0.3648028	0.3301774	0.3958453	0.3101515	0.3915519	0.2939908	0.3538285	0.3174762	0.3491884	0.3538614	0.4143098	0.3194274	0.3286669	0.2875107	0.3031617	0.3267231	0.3293578	0.3378012	0.3140607	0.3197513	0.2771541	0.4476567	0.3383983	0.3570590	0.3840785	0.3577218	0.3325051	0.3745178	0.4627190	0.3491280	0.3158951	0.3163457	0.2994027	0.0495914	0.3710257	0.0732590	0.3932566	0.3785762	0.3442723	0.3280015	0.3416099	0.3224036	0.2965540	0.4558762	0.3480169	0.3035340	0.2967735	0.3120842	0.3572516	0.3566903	0.3461341
G18	0.4424419	0.5415342	0.4519793	0.5738852	0.7847960	0.5115526	0.5640808	0.5194748	0.4831805	0.4168662	0.4104522	0.4228281	0.5630073	0.5645902	0.5129378	0.4719989	0.5392580	0.0000000	0.5645620	0.6534857	0.4564384	0.4891667	0.4472662	0.5125203	0.5266555	0.5188674	0.5302477	0.3916775	0.4427016	0.6116349	0.4934218	0.4758071	0.4301937	0.4391277	0.4758527	0.5639676	0.4981945	0.5094778	0.4025909	0.6605897	0.4752607	0.4968746	0.4215617	0.5745332	0.5011054	0.0635298	0.5657902	0.5790775	0.4942050	0.5073114	0.5864305	0.5374868	0.5185069	0.5681006	0.5649900	0.4887719	0.4804065	0.5369850	0.4344564	0.4168715	0.3817752	0.4213212	0.4529449	0.4069992	0.4868341	0.4755927	0.5382674	0.5092799	0.5149213	0.4820553	0.6189932	0.4852945	0.5334728	0.6477934	0.6208170	0.4923788	0.5517804	0.4893374	0.4439977	0.4891127	0.5268599	0.4951026	0.4307559	0.4845758	0.5424820	0.5164497	0.5018857	0.4394338	0.4429199	0.4762574	0.5054976	0.5007618	0.4952494	0.4958643	0.3947851	0.4991227	0.6027793	0.5738905	0.5948895	0.4177870
G19	0.0597063	0.0857785	0.0394004	0.0601638	0.3270339	0.0672768	0.0510344	0.0523841	0.0477930	0.0956120	0.0510738	0.0478077	0.0508310	0.0553736	0.0610167	0.0499787	0.0514586	0.0762016	0.0000000	0.0452262	0.0368737	0.0774271	0.0898671	0.0703501	0.0771987	0.0807028	0.0362903	0.0297204	0.0853442	0.0466854	0.0541741	0.0617030	0.0667301	0.0553769	0.0520609	0.0610361	0.0595611	0.0455976	0.0246841	0.0588966	0.0514200	0.0489062	0.1550133	0.0883669	0.0400336	0.1364015	0.0466055	0.0726555	0.0572372	0.0629465	0.0390943	0.0903913	0.0845907	0.0566317	0.0605238	0.0588010	0.0845679	0.0486725	0.0570555	0.0481183	0.0693252	0.0611527	0.1407442	0.0562247	0.0390523	0.0714494	0.0657460	0.0500958	0.0667821	0.0494847	0.0454920	0.0526022	0.0512275	0.1043819	0.0748426	0.1149578	0.0554603	0.0479842	0.0373596	0.0681502	0.0915756	0.0538510	0.2970282	0.0422420	0.0535819	0.0780366	0.0656465	0.0479436	0.0549623	0.0615925	0.0813337	0.0681747	0.0837968	0.0446562	0.0674014	0.0783332	0.0473555	0.0640121	0.0526277	0.0355882
G20	0.0076996	0.0030291	0.0044285	0.0022988	0.2682426	0.0017149	0.0034991	0.0072095	0.0002699	0.0044660	0.0047151	0.0008600	0.0052139	0.0084787	0.0009315	0.0145675	0.0052718	0.0018333	0.0016122	0.0000000	0.0034504	0.0022069	0.0005893	0.0054714	0.0033028	0.0013454	0.0071919	0.0031490	0.0042063	0.0102402	0.0024328	0.0110160	0.0032442	0.0023657	0.0031779	0.0013282	0.0056543	0.0003480	0.0004611	0.0018853	0.0024069	0.0023010	0.2583424	0.3497316	0.0033223	0.0053856	0.0043975	0.0036694	0.0019519	0.0027457	0.0018719	0.0013392	0.0035596	0.0080800	0.0007741	0.0211039	0.0055481	0.0019423	0.0002037	0.0077286	0.0268742	0.0006914	0.2360735	0.0019092	0.0025686	0.0134358	0.0023505	0.0011052	0.0019406	0.0027470	0.0023497	0.0013153	0.0001021	0.0018078	0.0026098	0.0032379	0.0030914	0.0066178	0.0012809	0.0050440	0.0022569	0.0096810	0.1672940	0.0051872	0.0084462	0.0038705	0.0019747	0.0016888	0.0030699	0.0036573	0.0005331	0.0023028	0.0035294	0.0070086	0.0023979	0.0080361	0.0018899	0.0050734	0.0055041	0.0043752
G21	0.0445909	0.0288609	0.0323652	0.0233848	0.0146155	0.0698306	0.0187353	0.0280261	0.0445669	0.0255374	0.0353293	0.0547916	0.0226656	0.0716153	0.0364022	0.0362724	0.0372462	0.0308047	0.0174873	0.0607680	0.0000000	0.0498685	0.0309719	0.0424190	0.0294788	0.0406231	0.0223748	0.0454865	0.0275635	0.0490106	0.0345754	0.0391164	0.0702029	0.0598331	0.0361015	0.0346870	0.0239689	0.0234204	0.0608565	0.0392602	0.0506128	0.0379315	0.0306727	0.0179031	0.0332614	0.0431685	0.0607575	0.0300203	0.0333108	0.0415781	0.0425192	0.0255212	0.0328750	0.0337284	0.0686412	0.0400729	0.0293333	0.0331469	0.0429597	0.0329218	0.0345574	0.0355125	0.0221806	0.0292261	0.0336678	0.0496583	0.0546992	0.0311913	0.0156295	0.0451983	0.0724130	0.0050003	0.0373078	0.0457497	0.0203336	0.0461169	0.0290612	0.0685198	0.0220932	0.0389891	0.0290040	0.0303869	0.0356816	0.0321514	0.0362969	0.0598960	0.0388365	0.0442127	0.0624085	0.0322810	0.0132910	0.0478993	0.0546676	0.0317230	0.0465570	0.5965519	0.0307514	0.0201358	0.0219079	0.0649256
G22	0.1980496	0.1372176	0.1601942	0.2276276	0.0596955	0.1440978	0.1710432	0.1759368	0.1385213	0.1823270	0.1639590	0.1224451	0.1994238	0.1613051	0.1521839	0.1330331	0.1414559	0.1747834	0.2145485	0.1939854	0.2159052	0.0000000	0.1757560	0.2212545	0.1661878	0.1348864	0.1403687	0.1533979	0.1115032	0.1575132	0.1807899	0.1184155	0.1413792	0.1468038	0.1907371	0.1534125	0.1238448	0.1153420	0.2095805	0.1107207	0.1737340	0.1918675	0.1841886	0.1460134	0.1571593	0.4867215	0.1822885	0.1546606	0.1480685	0.1225548	0.1148928	0.2050399	0.1456234	0.1732018	0.1969269	0.1813660	0.2236796	0.1608694	0.1375596	0.1940288	0.1906929	0.1758723	0.1413234	0.1254782	0.1363554	0.1665183	0.1364967	0.1557161	0.1109310	0.1883164	0.1380658	0.1685058	0.1858295	0.1507623	0.1326709	0.1500374	0.1640128	0.1894633	0.2013798	0.2071928	0.1189470	0.1468533	0.1358352	0.0902267	0.1592542	0.1337241	0.1548106	0.1915194	0.1989750	0.1351864	0.1543444	0.1123583	0.1420011	0.1747466	0.1577428	0.2238826	0.1536809	0.1406053	0.1599263	0.1154309
